Player Name,Rally #,Point #,Shot # of Rally,Shot Type,Stroke,Speed (km/h),Bounce (x),Bounce (y),Height (cm),Hit (x),Hit (y),Direction,Context,Outcome,Video Time
isaac stahly,2,2,1,SERVE,AD,137.8,1157.9,577.95,138.2,3053.3,983.9,WIDE,FAULT,OUT_LONG,00:01:27
isaac stahly,3,2,1,SERVE,AD,118.7,1081.16,530.7,99.4,3055.4,987.2,WIDE,DOUBLE_FAULT,OUT_LONG,00:01:34
isaac stahly,4,3,1,SERVE,DEUCE,133.6,1296.56,1134.97,122.5,3063.3,787.1,BODY,DURING_RALLY,IN,00:01:52
Alessandro  Santangelo,4,3,2,GROUNDSTROKE,FOREHAND,101.8,0,0,46.5,595.7,1250.4,,ERROR,IN_NET,00:01:53
isaac stahly,5,4,1,SERVE,AD,138.4,1241.9,873.69,124.2,3034.4,1007.5,DOWN_THE_T,ACE,IN,00:02:12
isaac stahly,6,5,1,SERVE,DEUCE,149.2,1010.51,1020.73,154.3,3048.5,796.1,DOWN_THE_T,FAULT,OUT_LONG,00:02:28
isaac stahly,7,5,1,SERVE,DEUCE,126.2,1314.68,1024.29,134.2,3044.6,786.2,DOWN_THE_T,DURING_RALLY,IN,00:02:35
Alessandro  Santangelo,7,5,2,GROUNDSTROKE,BACKHAND,89,2699.02,950.11,184.5,666.5,1219.1,INSIDE_IN,DURING_RALLY,IN,00:02:36
isaac stahly,7,5,3,GROUNDSTROKE,FOREHAND,94,1259.06,840.1,125.3,3152,996.7,INSIDE_OUT,DURING_RALLY,IN,00:02:37
Alessandro  Santangelo,7,5,4,GROUNDSTROKE,BACKHAND,93.1,2875.85,1133.15,205.9,599.4,983.4,INSIDE_IN,DURING_RALLY,IN,00:02:39
isaac stahly,7,5,5,GROUNDSTROKE,BACKHAND,95.8,1112.86,809.06,145.5,3256.8,1085.5,CROSS,DURING_RALLY,IN,00:02:41
Alessandro  Santangelo,7,5,6,GROUNDSTROKE,BACKHAND,106.8,2640.27,982.53,132.6,584.9,850,CROSS,DURING_RALLY,IN,00:02:42
isaac stahly,7,5,7,GROUNDSTROKE,BACKHAND,94.1,0,0,94.5,3159.2,994.9,CENTER,ERROR,,00:02:43
isaac stahly,8,6,1,SERVE,AD,129.2,1346.31,813.91,99.2,3045.5,982.8,DOWN_THE_T,DURING_RALLY,IN,00:03:04
Alessandro  Santangelo,8,6,2,GROUNDSTROKE,FOREHAND,93.3,2890.21,1172.87,197.8,622.8,706.4,INSIDE_OUT,DURING_RALLY,IN,00:03:05
isaac stahly,8,6,3,GROUNDSTROKE,BACKHAND,84.4,1134.69,901.27,189.1,3107.8,1134.7,CENTER,DURING_RALLY,IN,00:03:06
Alessandro  Santangelo,8,6,4,GROUNDSTROKE,FOREHAND,111.5,2784.5,634.8,156.5,582.8,768.4,INSIDE_IN,DURING_RALLY,IN,00:03:08
isaac stahly,8,6,5,GROUNDSTROKE,FOREHAND,110.8,1021.06,744.74,154.6,3195.5,792.5,LONGLINE,DURING_RALLY,IN,00:03:09
Alessandro  Santangelo,8,6,6,GROUNDSTROKE,BACKHAND,102.5,3047.46,1192.12,215.1,609.1,916.6,CENTER,ERROR,OUT_LONG,00:03:10
isaac stahly,9,7,1,SERVE,DEUCE,141.5,1333.54,1371.27,121.7,3031.6,801.2,OUT_WIDE,FAULT,OUT_WIDE,00:03:32
isaac stahly,10,7,1,SERVE,DEUCE,110.5,1456.92,1027.14,114.6,3047.4,806.4,DOWN_THE_T,DURING_RALLY,IN,00:03:42
Alessandro  Santangelo,10,7,2,GROUNDSTROKE,BACKHAND,100.5,2773.32,1079.55,192.6,708.2,1267.8,INSIDE_IN,DURING_RALLY,IN,00:03:43
isaac stahly,10,7,3,GROUNDSTROKE,BACKHAND,101,940.19,1017.49,168.5,3177.4,970.4,LONGLINE,DURING_RALLY,IN,00:03:44
Alessandro  Santangelo,10,7,4,GROUNDSTROKE,FOREHAND,101.9,2673.3,878,169.2,535.6,977.1,CROSS,DURING_RALLY,IN,00:03:46
isaac stahly,10,7,5,GROUNDSTROKE,FOREHAND,117.5,0,0,63.1,3277.3,952.6,,ERROR,IN_NET,00:03:47
Alessandro  Santangelo,12,9,1,SERVE,DEUCE,135.8,1158.47,1039.55,148.9,3106,691.1,DOWN_THE_T,FAULT,OUT_LONG,00:04:27
Alessandro  Santangelo,13,9,1,SERVE,DEUCE,127.1,1405.89,990.17,101.3,3069.2,738.3,DOWN_THE_T,DURING_RALLY,IN,00:04:41
isaac stahly,13,9,2,GROUNDSTROKE,BACKHAND,80,2496.03,775.31,236,563,1291,INSIDE_OUT,DURING_RALLY,IN,00:04:42
Alessandro  Santangelo,13,9,3,GROUNDSTROKE,FOREHAND,105.9,1191.33,604.14,121,3081.8,766.1,LONGLINE,DURING_RALLY,IN,00:04:44
isaac stahly,13,9,4,GROUNDSTROKE,BACKHAND,74.2,2233.21,1036.69,106.7,521.9,799.8,CROSS,DURING_RALLY,IN,00:04:45
Alessandro  Santangelo,13,9,5,GROUNDSTROKE,BACKHAND,90.9,1041.61,1153.41,108.3,2939.5,1129.8,LONGLINE,DURING_RALLY,IN,00:04:47
